[58684:55932:1231/140443.833:WARNING:chrome_command_line_pref_store.cc(119)] Additional command-line proxy switches specified when --no-proxy-server was also specified.
[58684:55932:1231/140443.842:WARNING:chrome_command_line_pref_store.cc(119)] Additional command-line proxy switches specified when --no-proxy-server was also specified.
[58684:55932:1231/140443.931:WARNING:chrome_command_line_pref_store.cc(119)] Additional command-line proxy switches specified when --no-proxy-server was also specified.
[58684:55932:1231/140444.456:WARNING:CONSOLE(0)] "HTML Imports is deprecated and will be removed in M73, around March 2019. Please use ES modules instead. See https://www.chromestatus.com/features/5144752345317376 for more details.", source:  (0)
[58684:55932:1231/140444.475:WARNING:CONSOLE(77)] "document.registerElement is deprecated and will be removed in M73, around March 2019. Please use window.customElements.define instead. See https://www.chromestatus.com/features/4642138092470272 for more details.", source: https://ssl.gstatic.com/chrome/components/doodle-notifier-02.html (77)
[58684:55932:1231/140447.526:INFO:CONSOLE(8)] "SW registered", source: https://www.google.com/_/chrome/newtab?ie=UTF-8 (8)
[58684:55932:1231/140453.179:INFO:CONSOLE(0)] "Slow network is detected. See https://www.chromestatus.com/feature/5636954674692096 for more details. Fallback font will be used while loading: https://incapsulate311-sat-dev-ed.my.salesforce.com/fonts/SalesforceSans/SalesforceSans-Regular.woff2", source: https://incapsulate311-sat-dev-ed.my.salesforce.com/console?tsid=02uf2000001DGlj (0)
[58684:55932:1231/140453.181:INFO:CONSOLE(0)] "Slow network is detected. See https://www.chromestatus.com/feature/5636954674692096 for more details. Fallback font will be used while loading: https://incapsulate311-sat-dev-ed.my.salesforce.com/fonts/feed/compactfeedicons.woff?cb1", source: https://incapsulate311-sat-dev-ed.my.salesforce.com/console?tsid=02uf2000001DGlj (0)
[58684:55932:1231/140453.265:INFO:CONSOLE(120)] "Slow network is detected. See https://www.chromestatus.com/feature/5636954674692096 for more details. Fallback font will be used while loading: https://incapsulate311-sat-dev-ed.my.salesforce.com/fonts/SalesforceSans/SalesforceSans-Bold.woff", source: https://incapsulate311-sat-dev-ed.my.salesforce.com/EXT/ext-3.3.3/ext.js (120)
[58684:55932:1231/140453.950:INFO:CONSOLE(255)] "XHR request POST /chatter/handlers/knowledgehome2/articleslist", source: https://incapsulate311-sat-dev-ed.my.salesforce.com/jslibrary/1539646802000/sfdc/Chatter.js (255)
[58684:55932:1231/140453.950:INFO:CONSOLE(255)] "Rewritten URL: /chatter/handlers/knowledgehome2/articleslist", source: https://incapsulate311-sat-dev-ed.my.salesforce.com/jslibrary/1539646802000/sfdc/Chatter.js (255)
[58684:55932:1231/140454.151:INFO:CONSOLE(0)] "Invalid 'X-Frame-Options' header encountered when loading 'https://incapsulate311-sat-dev-ed.my.salesforce.com/support/console/highlightpanel.apexp?id=500f200001L9SYN&isdtp=vw&inContextPane=true&nonce=da30cb17d26aee663cfbe724d2c57fad98957f77a91ca5d558de4072fdacad42&sfdcIFrameOrigin=https%3A%2F%2Fincapsulate311-sat-dev-ed.my.salesforce.com': 'ALLOW-FROM https://incapsulate311-sat-dev-ed.my.salesforce.com' is not a recognized directive. The header will be ignored.", source: https://incapsulate311-sat-dev-ed.my.salesforce.com/console?tsid=02uf2000001DGlj (0)
[58684:55932:1231/140454.279:INFO:CONSOLE(396)] "[HighlightPanel] Initialization started", source: https://incapsulate311-sat-dev-ed.my.salesforce.com/jslibrary/1543986924000/sfdc/main.js (396)
[58684:55932:1231/140454.283:INFO:CONSOLE(396)] "[HighlightPanel] Splitter created between panels LEFT (WEST) and CENTER (EAST).", source: https://incapsulate311-sat-dev-ed.my.salesforce.com/jslibrary/1543986924000/sfdc/main.js (396)
[58684:55932:1231/140454.284:INFO:CONSOLE(396)] "[HighlightPanel] Splitter created between panels CENTER (WEST) and RIGHT (EAST).", source: https://incapsulate311-sat-dev-ed.my.salesforce.com/jslibrary/1543986924000/sfdc/main.js (396)
[58684:55932:1231/140454.293:INFO:CONSOLE(396)] "[HighlightPanel] Initialization successful", source: https://incapsulate311-sat-dev-ed.my.salesforce.com/jslibrary/1543986924000/sfdc/main.js (396)
